Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,43,-22,81,-17,-24,8,16,2,11,7,3,-25
2001,32,17,21,-18,5,-9,5,-18,-14,-9,-20,1
2002,-10,-9,-11,-45,-26,17,-13,13,1,-13,24,-13
2003,4,-37,-13,35,17,17,12,25,23,1,12,31
2004,21,-10,49,14,47,14,15,26,26,48,14,26
2005,-22,58,28,85,28,39,20,41,21,45,64,9
2006,68,63,25,37,-13,-14,13,8,-2,-36,-16,19
2007,40,-99,80,-20,-13,14,-27,-50,-33,-12,-42,-33
2008,-14,-23,-47,-79,-53,-61,-53,-46,-70,-77,-154,-112
2009,-134,-121,-155,-137,-54,-90,-78,-77,-68,-71,-20,-42
2010,-74,-80,37,16,-33,-4,-8,16,-23,7,-2,-39
2011,-40,24,26,8,31,12,19,5,32,4,5,18
2012,15,3,-4,-7,-14,17,11,16,13,13,10,40
2013,22,38,18,-6,33,26,4,19,32,21,32,-31
2014,53,22,31,46,25,24,45,32,32,17,13,21
2015,27,41,-27,58,35,14,31,18,18,39,51,32
2016,1,9,38,24,-13,12,34,1,32,31,24,-5
2017,22,41,21,14,15,31,6,34,11,18,37,23
2018,2,91,10,18,62,18,26,29,28,14,-3,10
2019,29,-30,30,43,10,24,24,4,17,6,-12,-14
2020,48,35,-69,-1019,482,155,37,30,27,48,20,36
2021,5,-84,121,1,-9,2,32,7,52,34,44,33
2022,0,56,41,6,40,23,31,9,31,15,16,22
2023,47,11,-17,29,10,41,10,26,11,27,8,12
2024,23,9,32,6,6,20,12,28,18,8,5,9
2025,-12,3,6,-2,-2,-2,-6,-22,16,-12,36,-7
2026,45,-21,16,9, , , , , , , , 
