Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,-6,2,-4,-3,-2,2,2,11,20,12,14,15
2001,7,23,17,4,9,7,-13,24,0,9,15,-6
2002,5,-7,-3,7,-3,6,4,6,15,27,12,14
2003,8,12,14,26,17,-4,11,1,-3,-10,-7,-6
2004,2,1,7,11,18,1,-16,6,12,-5,3,18
2005,9,4,-6,10,3,19,18,23,8,35,22,6
2006,21,29,17,22,2,-10,0,6,14,-5,10,0
2007,-3,5,-10,-19,6,-1,1,-28,-25,-13,-14,-10
2008,-4,-5,-1,-10,-11,-11,-20,-13,-34,-34,-39,-31
2009,-49,-48,-41,-56,-31,-22,-15,-25,-11,-19,5,-11
2010,-11,-7,-17,2,-13,-10,-12,-2,7,1,-2,4
2011,-4,-3,5,-2,21,-11,2,5,-2,13,13,8
2012,7,9,22,4,10,1,-4,10,12,10,6,13
2013,8,15,4,16,12,3,17,-2,1,9,0,3
2014,-2,19,0,13,7,13,14,15,15,10,16,7
2015,17,11,11,5,11,18,19,11,7,15,15,7
2016,18,2,17,22,17,17,22,15,8,5,12,26
2017,27,1,10,17,11,16,13,11,4,1,8,7
2018,7,24,11,6,30,17,9,10,19,15,7,10
2019,11,13,20,16,12,15,23,14,0,16,12,9
2020,11,39,-17,-263,15,15,1,26,25,17,15,12
2021,4,-4,18,14,11,12,35,18,25,28,32,27
2022,-4,42,26,35,12,10,14,19,5,25,14,10
2023,-2,8,-2,30,-5,7,11,0,-7,-7,-7,4
2024,-11,-14,-2,-5,3,12,-5,8,0,2,9,6
2025,8,12,2,4,6,-7,0,-19,4,-5,1,1
2026,-39,2,-19,-11, , , , , , , , 
