Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,31,28,134,69,345,-260,-20,-30,-102,8,17,44
2001,31,71,39,47,37,108,48,33,24,33,51,29
2002,22,13,41,12,71,35,-5,45,-43,13,22,7
2003,38,-2,-14,-15,-28,39,27,-77,-52,54,-23,11
2004,-8,12,38,26,0,-13,5,20,9,21,36,1
2005,42,9,-4,14,27,-18,94,6,-18,-16,30,20
2006,-32,31,25,16,7,-4,51,38,71,-14,15,5
2007,7,36,18,26,18,14,-36,55,53,18,37,42
2008,12,29,26,7,33,34,51,-1,-30,12,11,-4
2009,23,-3,-16,117,-60,-41,-55,16,-86,73,9,-51
2010,9,-15,42,51,427,-256,-171,-149,-173,50,-10,-21
2011,-8,-43,-23,-8,-55,35,-115,-32,-34,15,-27,-17
2012,-8,1,-4,-12,-20,19,-17,3,9,-22,-20,4
2013,-18,12,-11,-1,-5,-24,-25,16,4,-5,13,-23
2014,-6,11,8,20,-21,63,6,-46,42,20,15,15
2015,13,18,-8,35,7,3,35,10,-20,16,25,16
2016,17,24,40,6,15,-19,109,-5,39,-28,-18,27
2017,12,10,3,6,12,13,14,-64,23,28,18,5
2018,-10,45,8,17,5,33,-46,32,6,5,-6,38
2019,-3,17,44,50,-57,42,-32,53,28,17,39,17
2020,55,76,-30,-918,-516,19,102,486,-71,-124,-122,-5
2021,63,13,90,49,36,102,8,97,-34,-75,19,16
2022,-13,-17,1,36,56,17,164,0,-9,-4,86,-14
2023,119,54,42,62,80,70,45,70,41,45,43,55
2024,49,71,85,1,33,9,61,36,13,37,18,25
2025,28,2,0,9,-7,25,-1,-50,8,-153,-31,-10
2026,-20,-8,-5,-8, , , , , , , , 
