Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,20,14,27,20,28,29,28,40,50,25,48,56
2001,54,54,56,43,75,37,56,60,58,41,45,54
2002,55,48,41,38,45,89,50,21,28,26,46,20
2003,45,45,27,59,41,8,10,11,34,60,31,39
2004,24,24,52,38,35,14,35,37,-7,94,26,48
2005,36,8,27,40,61,62,50,40,34,18,50,32
2006,53,50,46,26,32,9,24,53,65,36,46,44
2007,36,39,56,55,46,51,35,56,55,43,26,49
2008,52,43,50,60,37,66,51,56,4,15,39,41
2009,56,14,6,5,62,38,13,44,19,36,37,34
2010,27,14,53,11,27,30,12,36,-7,68,40,13
2011,24,17,13,52,21,31,48,35,50,35,32,31
2012,58,73,44,17,37,0,35,27,39,30,5,53
2013,15,11,48,50,19,6,-9,74,-14,25,42,-1
2014,37,16,40,31,52,49,26,51,40,28,57,52
2015,68,41,42,73,54,55,41,36,52,72,48,58
2016,30,53,46,56,61,51,54,46,64,48,38,63
2017,13,77,29,58,35,25,67,37,26,18,41,29
2018,55,56,29,23,37,32,28,58,8,47,12,84
2019,50,21,65,66,36,45,46,65,42,40,63,37
2020,82,63,-217,-2614,408,577,196,201,65,89,59,-3
2021,28,51,123,48,32,26,42,24,-3,95,45,41
2022,-17,115,73,60,59,91,128,73,84,90,87,44
2023,110,73,77,80,108,93,121,109,97,94,118,82
2024,98,97,95,88,70,91,41,58,118,95,84,75
2025,61,58,68,84,60,49,87,23,54,44,56,38
2026,119,-49,91,46, , , , , , , , 
