Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,7,6,69,46,-7,42,31,27,13,-64,70,30
2001,1,20,3,40,28,8,34,-17,-32,-46,-30,-18
2002,39,-44,3,-37,8,-31,7,24,55,79,39,3
2003,61,-43,-21,-24,7,29,22,34,31,51,25,36
2004,26,26,53,10,46,14,0,-10,65,32,24,24
2005,35,25,28,84,-5,40,30,24,-29,-22,44,21
2006,40,35,54,40,-22,9,69,22,-2,37,64,41
2007,46,23,2,12,29,9,4,2,42,38,36,15
2008,-8,1,-12,-20,-13,-16,-19,-32,-52,-27,-52,-44
2009,-34,-29,-66,-71,50,-30,2,-32,8,-59,-9,-42
2010,-12,-5,16,36,33,22,14,33,56,-10,-1,31
2011,-8,39,59,51,-5,50,27,25,31,38,47,27
2012,62,41,65,3,-4,-3,33,69,68,11,27,68
2013,59,45,31,39,41,59,36,39,12,56,37,22
2014,35,20,55,50,56,23,10,22,43,43,38,43
2015,23,57,9,42,80,5,60,33,78,37,58,32
2016,48,40,41,27,21,56,40,46,60,-5,46,19
2017,29,43,24,65,40,41,35,28,-10,-7,27,23
2018,26,22,8,-13,35,49,19,14,-18,31,5,51
2019,76,6,10,23,-20,5,10,80,71,49,39,44
2020,18,66,-731,-7439,1228,1830,638,158,492,238,-43,-462
2021,3,341,156,270,234,283,410,126,125,203,122,175
2022,83,133,61,103,78,90,137,59,62,90,41,62
2023,107,79,19,37,46,61,22,35,-8,46,5,10
2024,12,28,36,-18,-31,13,7,-5,30,23,24,39
2025,-30,-36,27,13,3,-2,11,22,37,41,-12,25
2026,5,-31,29,14, , , , , , , , 
