Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,5,0,18,-3,-21,17,27,-35,-58,-12,-15,-21
2001,-76,-75,-92,-136,-142,-147,-132,-148,-117,-143,-148,-113
2002,-124,-70,-75,-51,-54,-41,-41,-85,-52,-60,-67,-81
2003,-44,-87,-59,-113,-50,-65,-90,-27,-30,-12,-18,-17
2004,-8,-12,8,28,27,-8,-3,14,-13,0,-26,-21
2005,-28,15,-4,-19,6,-28,-2,-25,-27,16,-5,5
2006,19,0,2,13,-23,10,-25,-31,-34,-52,-34,-25
2007,-5,-11,-29,-25,-17,-19,-22,-60,-37,-28,-5,-12
2008,-22,-27,-40,-61,-34,-61,-75,-71,-81,-129,-112,-184
2009,-290,-181,-175,-179,-167,-137,-59,-42,-32,-53,-29,-33
2010,-18,-8,0,36,36,18,17,-8,11,-1,23,8
2011,27,31,22,30,8,13,19,19,4,10,-9,30
2012,37,21,39,17,11,10,26,-4,-6,7,-11,9
2013,23,12,3,1,0,4,-20,30,18,23,21,6
2014,-2,26,12,13,11,26,19,17,19,32,27,6
2015,-1,10,11,5,15,1,16,-5,8,8,-5,4
2016,21,-17,-24,12,-22,18,21,-23,-2,-1,-5,13
2017,10,16,11,6,10,13,0,45,8,14,15,29
2018,26,24,25,19,28,33,20,12,22,21,10,20
2019,29,-8,6,-3,-7,9,3,-1,-2,-54,44,-17
2020,-15,-2,-59,-1302,228,340,23,26,58,29,32,35
2021,-11,30,57,-36,23,31,58,48,40,60,45,39
2022,27,37,73,52,9,32,33,32,17,34,13,-1
2023,8,-5,-10,-4,-15,6,-13,-1,11,-35,22,13
2024,3,-23,-16,-3,-8,-11,-8,-34,-14,-61,14,-18
2025,-20,-2,-5,-4,-11,-15,-11,-10,-3,-9,-10,-13
2026,2,1,15,-2, , , , , , , , 
