Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,-0.3,0.7,-1.4,0.2,0.1,-0.1,-1.1,-0.7,0.5,0.3,-1.0,-0.7
2001,0.6,-0.6,0.5,0.1,0.3,-0.4,0.9,-0.1,0.5,-1.7,0.9,0.8
2002,-0.1,0.9,-2.0,-1.6,0.0,-0.2,-0.8,0.2,-1.0,0.5,0.4,-0.3
2003,0.2,-0.4,0.4,0.2,0.0,0.1,-0.8,-0.8,-0.2,-0.2,-0.6,-0.2
2004,1.4,1.4,0.2,1.5,1.3,-0.6,-0.1,0.8,0.7,-0.7,0.4,0.0
2005,-0.6,-1.0,1.5,0.0,0.6,-0.2,0.7,0.3,0.8,0.5,1.1,-0.3
2006,0.7,1.2,1.2,1.6,0.3,1.6,0.4,1.7,-0.1,1.6,0.0,1.1
2007,1.3,1.0,1.1,1.0,0.2,1.3,1.2,0.5,0.2,2.1,2.6,1.6
2008,1.3,0.2,1.2,-2.2,4.8,1.1,1.7,1.7,1.1,-0.1,1.0,1.8
2009,-2.0,-0.7,-1.8,-1.8,-0.3,0.1,-1.0,-1.6,-0.3,-0.3,-0.5,-1.6
2010,1.2,-0.1,0.3,0.9,1.1,-0.6,0.3,1.3,0.5,1.3,-0.1,-0.4
2011,1.7,1.5,2.5,2.9,0.8,0.8,1.5,1.2,2.6,1.5,0.7,1.6
2012,1.0,1.1,2.4,0.7,1.1,1.6,0.5,0.6,0.0,-0.2,0.6,1.9
2013,1.6,1.3,-0.8,0.6,-0.8,-0.6,0.2,0.4,-0.2,-0.7,0.9,-0.3
2014,0.7,1.6,-2.2,1.9,1.5,1.4,0.4,-0.4,0.7,2.0,-0.1,-0.1
2015,-1.8,-1.5,-0.8,-1.8,-0.5,-0.3,0.6,-1.0,-1.0,-2.6,-1.2,-1.0
2016,-0.4,-2.2,-2.8,-3.8,-3.8,-4.8,-3.1,-2.4,-3.6,-2.2,-1.6,-4.2
2017,-3.7,-1.2,-3.7,0.8,-0.8,-0.7,-0.7,-0.8,1.6,-1.4,-0.6,-2.0
2018,1.4,-0.5,1.9,0.3,0.6,0.7,-0.3,-0.9,-1.4,-0.3,0.5,-0.5
2019,0.8,1.3,0.1,0.9,0.5,0.3,-1.0,0.4,-0.4,-0.6,-1.6,0.1
2020,-4.5,-0.9,-2.1,-2.1,-2.7,-1.8,-0.5,-0.9,0.4,0.2,-0.5,0.1
2021,-12.9,-1.2,0.7,0.1,-0.6,-0.8,-0.6,0.2,-0.1,-0.1,-0.4,0.4
2022,-0.4,0.7,0.7,6.4,1.1,1.5,1.3,-7.4,0.1,0.6,0.3,-0.2
2023,0.1,0.1,-0.4,1.0,0.9,-0.1,0.5,1.1,0.4,0.5,0.0,1.0
2024,0.9,0.0,0.1,-0.9,0.4,0.7,-0.6,-0.8,0.0,-0.4,0.4,-0.6
2025,-0.5,-0.9,-0.7,0.5,-0.1,-0.8,-0.6,-1.3,0.0,-0.2,0.8,0.0
2026,-1.0,0.7,-0.3,-0.7, , , , , , , , 
