Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,8,7,8,-2,-5,3,6,5,14,6,2,6
2001,7,-4,2,18,20,8,22,11,13,6,15,20
2002,10,11,7,4,2,-3,-5,9,14,8,16,-9
2003,2,5,-7,-1,1,-1,2,0,4,-1,2,-1
2004,2,0,13,1,0,1,-6,-4,-5,-8,3,0
2005,-2,-5,-7,6,-8,13,6,-4,-2,-11,8,15
2006,15,1,1,0,9,-2,-5,4,15,7,3,9
2007,0,8,11,6,7,3,-1,-4,-3,1,13,8
2008,5,12,7,1,-8,-7,-3,-10,0,4,-40,-30
2009,-16,-19,-28,-11,-4,3,-3,-9,-6,-19,-10,-4
2010,5,-8,11,7,-7,-15,13,-2,8,25,-10,-9
2011,-11,10,-5,9,4,8,5,19,5,1,8,11
2012,12,0,8,-6,0,9,8,-2,11,4,2,4
2013,6,-2,-5,4,16,8,5,9,9,7,2,14
2014,8,2,18,12,3,-6,4,14,-6,7,10,2
2015,6,7,1,7,8,-7,13,-7,0,9,8,15
2016,-6,19,7,5,-8,12,8,12,12,6,9,-18
2017,18,12,7,5,12,4,6,2,3,13,10,2
2018,4,5,2,8,11,9,-15,0,9,3,-2,7
2019,8,2,19,16,-5,8,5,2,2,-5,13,6
2020,16,1,-87,-1336,229,352,144,53,45,20,-10,-31
2021,1,10,11,23,12,68,56,38,7,39,20,19
2022,-14,45,3,6,8,9,33,12,11,18,14,9
2023,14,0,4,9,16,17,15,28,9,10,12,1
2024,11,13,13,4,2,13,-1,-4,2,3,6,4
2025,3,2,10,0,7,-10,5,19,-3,-6,16,8
2026,3,6,-10,10, , , , , , , , 
