Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,197,81,350,211,-124,218,185,36,205,7,187,116
2001,-44,14,-76,-340,-87,-216,-176,-184,-282,-344,-359,-190
2002,-146,-135,-56,-118,-55,7,-85,-48,-36,102,-23,-158
2003,70,-130,-192,-47,52,-50,-29,46,151,133,64,98
2004,175,53,281,246,285,110,55,65,141,319,38,126
2005,109,244,124,352,142,277,258,196,68,105,326,142
2006,300,275,280,156,32,92,141,125,63,31,202,184
2007,216,52,206,37,127,64,10,-86,33,58,78,63
2008,-16,-91,-96,-226,-222,-185,-254,-285,-421,-481,-761,-690
2009,-791,-758,-808,-789,-296,-417,-291,-206,-140,-258,-13,-198
2010,-15,-81,118,203,95,124,76,149,99,229,139,102
2011,15,263,249,322,161,193,176,165,253,194,164,215
2012,366,262,243,89,127,62,161,179,169,174,176,245
2013,201,277,154,185,228,207,137,239,171,225,263,78
2014,195,140,265,293,236,273,217,243,252,215,276,260
2015,191,241,104,238,335,168,247,124,170,288,204,253
2016,116,172,216,186,31,266,264,146,267,126,136,198
2017,208,208,121,199,193,190,175,211,66,113,205,146
2018,147,349,218,123,317,185,106,225,75,164,96,154
2019,254,-10,184,246,84,178,131,179,168,78,168,110
2020,182,186,-1368,-19551,3130,4612,1482,1080,1020,814,395,-180
2021,252,504,762,306,442,653,934,455,491,876,639,570
2022,203,836,489,272,245,417,550,290,229,361,217,114
2023,315,236,26,179,200,155,118,148,115,114,84,99
2024,126,135,143,63,45,78,-8,-27,142,-4,116,212
2025,-76,40,67,99,20,-45,65,-20,68,13,72,-7
2026,180,-148,190,123, , , , , , , , 
