Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,76,37,74,83,-35,69,45,32,62,13,41,-16
2001,5,-24,-50,-126,-44,-66,-53,-62,-86,-102,-127,-26
2002,-36,-30,16,0,10,-10,-73,29,-22,17,-42,-64
2003,66,28,-70,3,50,14,39,-5,55,23,39,26
2004,28,15,26,112,73,32,39,-1,23,119,-18,16
2005,55,84,28,62,22,89,66,59,71,21,81,33
2006,53,61,86,22,59,69,40,46,-10,4,68,35
2007,64,33,30,18,34,11,4,10,-1,35,1,46
2008,-10,-45,-42,-10,-57,-44,-59,-64,-69,-108,-172,-131
2009,-154,-195,-151,-134,-51,-105,-23,-9,7,21,58,4
2010,22,19,-17,92,35,62,10,60,18,69,94,71
2011,10,79,65,62,51,17,7,75,65,47,36,68
2012,86,70,34,49,25,56,42,34,16,73,54,37
2013,42,93,56,62,54,46,47,27,30,50,68,-11
2014,47,62,47,58,41,61,38,58,56,29,56,79
2015,25,44,29,43,83,50,35,32,20,75,35,70
2016,11,12,24,31,7,42,46,4,69,22,37,34
2017,41,18,30,31,62,33,43,39,-3,41,16,39
2018,58,39,47,44,59,49,13,39,33,26,5,20
2019,5,29,28,57,41,46,19,34,10,11,11,-20
2020,9,7,-95,-2165,187,358,185,194,120,188,147,168
2021,152,77,110,-6,73,81,161,117,101,237,146,110
2022,54,189,111,-15,35,61,94,39,47,39,9,-18
2023,17,46,-5,5,13,-24,-47,-11,-25,-28,-54,-18
2024,25,-10,-27,-15,17,-27,-22,-40,-19,-39,13,33
2025,-52,-7,-16,13,-20,-31,-16,-28,-16,-24,56,-19
2026,36,4,26,7, , , , , , , , 
