Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,13.4,8.9,33.9,73.9,-48.9,10.2,14.0,22.5,23.7,4.9,7.5,46.7
2001,-26.4,17.9,-24.4,-95.7,3.7,4.2,-61.3,4.8,-9.6,-26.8,-22.4,-49.3
2002,-37.4,3.7,8.1,-2.4,-19.6,-11.0,-2.1,-45.3,-18.5,5.4,-12.8,11.9
2003,-18.1,-35.1,-24.8,10.4,-8.5,-14.8,-11.9,27.1,30.9,15.8,-20.7,-6.2
2004,46.8,-1.7,48.2,20.0,15.0,23.8,-16.1,0.8,24.6,28.0,21.1,-7.7
2005,20.3,40.0,1.5,49.3,16.9,34.1,41.5,16.2,-26.3,-3.0,31.0,5.6
2006,-12.3,6.7,26.2,-34.8,-31.4,11.8,1.5,2.7,3.2,33.8,35.4,1.3
2007,36.2,28.8,58.5,-21.4,17.0,-15.7,4.5,0.8,8.7,-6.9,64.0,-5.1
2008,-19.2,-34.9,-10.7,-83.2,-62.7,-24.0,-39.8,-60.9,-65.8,-61.6,-128.8,-105.6
2009,-83.7,-83.2,-86.3,-63.7,-15.7,-13.2,-54.9,-8.1,-32.1,-48.4,-17.8,-31.3
2010,49.7,-1.0,34.4,-3.9,8.2,2.9,2.8,11.9,6.2,41.8,-15.8,-1.8
2011,46.5,27.2,19.7,64.9,1.5,33.4,38.3,1.7,8.5,12.6,16.4,-8.0
2012,59.3,-6.4,16.2,7.7,7.9,-19.3,-10.1,11.2,27.3,16.1,78.4,-30.4
2013,22.7,24.9,-0.4,10.0,31.5,47.5,44.8,45.5,27.5,27.1,29.6,55.2
2014,-16.1,-25.3,28.3,38.0,9.2,40.9,23.1,8.9,29.6,37.2,25.3,14.3
2015,17.6,16.7,30.9,12.5,35.2,10.5,15.0,6.4,-9.4,39.5,6.2,5.3
2016,34.0,50.3,54.2,-2.1,5.7,17.1,15.2,17.1,7.1,1.4,-45.0,32.8
2017,54.0,-21.2,-29.3,-18.1,-18.3,-7.7,-8.7,-6.5,-7.2,-7.1,33.0,-40.8
2018,-35.6,47.9,18.1,-0.5,15.5,-46.3,-16.6,1.9,-40.6,-43.0,44.0,-50.2
2019,-17.9,-30.7,-12.6,-2.5,-17.4,-21.0,0.1,-16.6,9.8,0.7,-17.6,40.5
2020,-37.6,6.7,-86.3,-2186.0,384.5,820.9,223.5,266.9,38.4,109.2,36.5,17.4
2021,21.7,23.0,43.9,-43.4,2.1,53.3,-6.6,-22.2,64.1,68.0,58.9,14.7
2022,6.9,108.8,-0.3,-49.1,-69.3,45.9,26.0,31.2,-23.6,13.8,18.2,3.7
2023,17.4,51.3,-39.8,-6.8,-0.1,-22.7,6.3,-8.3,0.1,12.6,-32.6,39.6
2024,-26.9,4.5,0.8,1.9,4.8,-36.1,-19.1,-22.4,-1.7,-4.3,-42.6,50.3
2025,-0.8,-17.5,15.7,4.1,-21.6,-14.5,4.7,10.1,13.1,-15.4,-0.9,-23.6
2026,12.7,-0.3,18.6,21.8, , , , , , , , 
