Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,228,109,484,280,221,-42,165,6,103,15,204,160
2001,-13,85,-37,-293,-50,-108,-128,-151,-258,-311,-308,-161
2002,-124,-122,-15,-106,16,42,-90,-3,-79,115,-1,-151
2003,108,-132,-206,-62,24,-11,-2,-31,99,187,41,109
2004,167,65,319,272,285,97,60,85,150,340,74,127
2005,151,253,120,366,169,259,352,202,50,89,356,162
2006,268,306,305,172,39,88,192,163,134,17,217,189
2007,223,88,224,63,145,78,-26,-31,86,76,115,105
2008,-4,-62,-70,-219,-189,-151,-203,-286,-451,-469,-750,-694
2009,-768,-761,-824,-672,-356,-458,-346,-190,-226,-185,-4,-249
2010,-6,-96,160,254,522,-132,-95,0,-74,279,129,81
2011,7,220,226,314,106,228,61,133,219,209,137,198
2012,358,263,239,77,107,81,144,182,178,152,156,249
2013,183,289,143,184,223,183,112,255,175,220,276,55
2014,189,151,273,313,215,336,223,197,294,235,291,275
2015,204,259,96,273,342,171,282,134,150,304,229,269
2016,133,196,256,192,46,247,373,141,306,98,118,225
2017,220,218,124,205,205,203,189,147,89,141,223,151
2018,137,394,226,140,322,218,60,257,81,169,90,192
2019,251,7,228,296,27,220,99,232,196,95,207,127
2020,237,262,-1398,-20469,2614,4631,1584,1566,949,690,273,-185
2021,315,517,852,355,478,755,942,552,457,801,658,586
2022,190,819,490,308,301,434,714,290,220,357,303,100
2023,434,290,68,241,280,225,163,218,156,159,127,154
2024,175,206,228,64,78,87,53,9,155,33,134,237
2025,-48,42,67,108,13,-20,64,-70,76,-140,41,-17
2026,160,-156,185,115, , , , , , , , 
