Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,131011,131120,131604,131884,132105,132063,132228,132234,132337,132352,132556,132716
2001,132703,132788,132751,132458,132408,132300,132172,132021,131763,131452,131144,130983
2002,130859,130737,130722,130616,130632,130674,130584,130581,130502,130617,130616,130465
2003,130573,130441,130235,130173,130197,130186,130184,130153,130252,130439,130480,130589
2004,130756,130821,131140,131412,131697,131794,131854,131939,132089,132429,132503,132630
2005,132781,133034,133154,133520,133689,133948,134300,134502,134552,134641,134997,135159
2006,135427,135733,136038,136210,136249,136337,136529,136692,136826,136843,137060,137249
2007,137472,137560,137784,137847,137992,138070,138044,138013,138099,138175,138290,138395
2008,138391,138329,138259,138040,137851,137700,137497,137211,136760,136291,135541,134847
2009,134079,133318,132494,131822,131466,131008,130662,130472,130246,130061,130057,129808
2010,129802,129706,129866,130120,130642,130510,130415,130415,130341,130620,130749,130830
2011,130837,131057,131283,131597,131703,131931,131992,132125,132344,132553,132690,132888
2012,133246,133509,133748,133825,133932,134013,134157,134339,134517,134669,134825,135074
2013,135257,135546,135689,135873,136096,136279,136391,136646,136821,137041,137317,137372
2014,137561,137712,137985,138298,138513,138849,139072,139269,139563,139798,140089,140364
2015,140568,140827,140923,141196,141538,141709,141991,142125,142275,142579,142808,143077
2016,143210,143406,143662,143854,143900,144147,144520,144661,144967,145065,145183,145408
2017,145628,145846,145970,146175,146380,146583,146772,146919,147008,147149,147372,147523
2018,147660,148054,148280,148420,148742,148960,149020,149277,149358,149527,149617,149809
2019,150060,150067,150295,150591,150618,150838,150937,151169,151365,151460,151667,151794
2020,152031,152293,150895,130426,133040,137671,139255,140821,141770,142460,142733,142548
2021,142863,143380,144232,144587,145065,145820,146762,147314,147771,148572,149230,149816
2022,150006,150825,151315,151623,151924,152358,153072,153362,153582,153939,154242,154342
2023,154776,155066,155134,155375,155655,155880,156043,156261,156417,156576,156703,156857
2024,157032,157238,157466,157530,157608,157695,157748,157757,157912,157945,158079,158316
2025,158268,158310,158377,158485,158498,158478,158542,158472,158548,158408,158449,158432
2026,158592,158436,158621,158736, , , , , , , , 
